Date,Age,Tenure_Months,Region,Device,Got_Promotion,Sales_Amount
2023-02-10,18,17,South,Mobile,0,61.43
2023-02-10,61,27,North,Mobile,1,105.66
2023-02-10,62,48,South,Desktop,1,131.23
2023-02-10,59,31,South,Desktop,1,119.26
2023-02-10,64,36,West,Mobile,1,100.41
2023-02-10,30,21,North,Mobile,0,73.84
2023-02-11,39,23,West,Desktop,1,96.39
2023-02-11,38,27,West,Mobile,1,92.31
2023-02-11,39,13,North,Mobile,0,64.22
2023-02-11,45,16,South,Mobile,1,87.66
2023-02-11,26,1,West,Mobile,0,52.65
2023-02-11,43,25,West,Desktop,1,121.56
2023-02-11,26,20,South,Tablet,0,63.45
2023-02-12,32,20,South,Mobile,0,67.13
2023-02-12,27,30,South,Mobile,0,89.32
2023-02-13,41,20,East,Mobile,1,100.94
2023-02-13,59,36,South,Mobile,1,82.05
2023-02-13,25,1,East,Mobile,0,63.93
2023-02-13,41,16,North,Desktop,1,100.35
2023-02-13,33,23,North,Mobile,0,62.79
2023-02-13,66,41,South,Mobile,1,95.57
2023-02-14,43,18,South,Mobile,0,69.07
2023-02-14,44,21,South,Mobile,1,86.67
2023-02-14,54,11,South,Mobile,1,76.52
2023-02-15,21,6,South,Desktop,0,87.29
2023-02-15,67,42,North,Mobile,1,104.97
2023-02-15,41,26,South,Desktop,1,97.96
2023-02-15,36,23,West,Mobile,0,67.66
2023-02-15,53,26,South,Mobile,1,93.85
2023-02-15,56,28,South,Mobile,0,94.52
2023-02-15,27,6,South,Mobile,0,59.39
2023-02-16,42,27,West,Mobile,1,80.94
2023-02-16,35,21,North,Mobile,1,99.7
2023-02-16,36,22,East,Desktop,1,119.69
2023-02-16,53,21,East,Desktop,1,114.99
2023-02-16,27,1,East,Mobile,1,84.44
2023-02-16,50,35,North,Mobile,1,88.7
2023-02-16,67,28,East,Mobile,1,82.55
2023-02-16,22,2,North,Mobile,0,81.67
2023-02-17,64,38,South,Mobile,1,121.87
2023-02-17,66,29,East,Desktop,1,130.2
2023-02-17,52,36,North,Mobile,1,97.08
2023-02-18,61,36,West,Mobile,1,85.86
2023-02-18,51,32,North,Mobile,1,85.36
2023-02-18,50,11,West,Mobile,1,83.17
2023-02-18,38,31,South,Desktop,1,103.57
2023-02-19,34,19,North,Mobile,0,100.51
2023-02-19,39,15,North,Mobile,0,78.78
2023-02-19,65,33,West,Desktop,1,114.97
2023-02-20,54,9,North,Mobile,1,119.17
2023-02-20,32,20,North,Desktop,0,80.79
2023-02-20,52,15,South,Mobile,0,100.46
2023-02-20,45,8,East,Mobile,0,93.81
2023-02-20,24,1,South,Desktop,0,56.15
2023-02-20,49,35,North,Mobile,1,103.75
2023-02-20,28,7,South,Mobile,0,74.83
2023-02-20,27,28,North,Mobile,0,72.27
2023-02-21,26,7,North,Mobile,0,57.53
2023-02-21,31,1,South,Desktop,0,89.33
2023-02-21,30,3,East,Desktop,1,99.78
2023-02-21,42,33,North,Tablet,1,102.24
2023-02-22,19,7,South,Desktop,0,51.74
2023-02-22,52,20,South,Mobile,0,68.64
2023-02-22,24,13,West,Mobile,0,68.48
2023-02-22,38,24,West,Mobile,0,67.81
2023-02-22,35,28,West,Mobile,1,86.54
2023-02-22,20,24,North,Mobile,0,75.06
2023-02-22,59,25,North,Tablet,1,107.0
2023-02-22,56,14,South,Mobile,1,110.77
2023-02-23,58,24,South,Mobile,1,92.29
2023-02-23,66,35,South,Mobile,0,77.19
2023-02-23,28,4,East,Desktop,1,100.0
2023-02-23,56,18,West,Desktop,0,93.36
2023-02-23,41,23,West,Desktop,1,114.46
2023-02-23,63,31,South,Mobile,1,100.21
2023-02-23,36,18,East,Desktop,1,110.82
2023-02-23,21,2,South,Mobile,0,71.13
2023-02-23,43,19,North,Desktop,0,101.09
2023-02-24,55,18,East,Mobile,1,90.95
2023-02-24,59,38,North,Mobile,0,91.66
2023-02-24,49,34,South,Mobile,0,92.86
2023-02-24,56,9,South,Desktop,0,108.13
2023-02-24,62,21,East,Mobile,1,107.12
2023-02-24,63,16,East,Desktop,1,114.33
2023-02-25,53,19,South,Mobile,1,113.93
2023-02-25,57,27,West,Mobile,1,79.05
2023-02-25,54,12,South,Mobile,1,80.45
2023-02-26,50,15,South,Mobile,1,103.1
2023-02-26,53,16,East,Mobile,0,81.41
2023-02-27,20,12,East,Mobile,1,88.76
2023-02-27,26,13,West,Desktop,0,80.74
2023-02-27,25,5,North,Mobile,0,69.12
2023-02-27,50,26,East,Tablet,1,81.63
2023-02-27,23,6,East,Mobile,0,64.9
2023-02-27,58,26,West,Desktop,1,124.02
2023-02-27,56,44,North,Mobile,1,111.12
2023-02-27,21,23,East,Mobile,0,87.21
2023-02-28,30,2,South,Mobile,0,69.65
2023-02-28,66,41,South,Mobile,1,114.75
2023-02-28,19,17,South,Desktop,0,58.57
2023-02-28,22,1,South,Mobile,0,49.17
2023-02-28,61,38,South,Mobile,1,96.37
2023-02-28,44,37,West,Desktop,1,108.99
2023-02-28,49,13,South,Mobile,0,68.3
2023-03-01,38,9,East,Desktop,1,102.85
2023-03-01,25,22,South,Mobile,0,61.06
2023-03-01,55,30,North,Desktop,1,119.08
2023-03-01,25,18,North,Mobile,0,66.96
2023-03-01,67,36,South,Mobile,1,108.52
2023-03-02,20,13,South,Mobile,0,64.24
2023-03-02,61,17,North,Tablet,1,91.34
2023-03-02,20,20,South,Mobile,0,58.05
2023-03-02,39,31,South,Mobile,1,87.61
2023-03-02,23,9,South,Desktop,0,61.75
2023-03-03,19,9,South,Tablet,0,70.02
2023-03-03,40,4,North,Desktop,1,107.02
2023-03-03,61,35,West,Tablet,1,102.78
2023-03-03,19,15,West,Mobile,0,66.34
2023-03-03,55,26,East,Mobile,1,91.07
2023-03-03,34,28,North,Desktop,1,94.46
2023-03-03,52,22,East,Desktop,1,106.34
2023-03-04,51,31,West,Mobile,1,97.81
2023-03-04,40,9,East,Mobile,1,91.69
2023-03-04,47,23,North,Desktop,1,125.36
2023-03-04,69,32,East,Mobile,1,126.84
2023-03-04,25,14,West,Mobile,0,66.51
2023-03-04,39,15,South,Mobile,1,81.62
2023-03-04,61,29,East,Mobile,0,83.3
2023-03-04,53,34,South,Desktop,1,130.78
2023-03-04,22,6,South,Mobile,0,82.93
2023-03-05,30,1,North,Desktop,0,80.5
2023-03-05,46,40,East,Mobile,0,62.11
2023-03-05,48,37,North,Mobile,1,96.23
2023-03-06,64,19,South,Desktop,0,97.99
2023-03-06,33,23,South,Mobile,1,88.96
2023-03-06,59,24,South,Mobile,1,92.79
2023-03-06,47,26,North,Mobile,0,85.82
2023-03-07,33,19,East,Mobile,0,70.68
2023-03-07,29,12,East,Mobile,1,68.76
2023-03-07,34,9,North,Desktop,0,98.16
2023-03-07,33,9,North,Desktop,0,82.08
2023-03-08,29,5,North,Desktop,0,94.39
2023-03-08,25,4,West,Mobile,0,62.63
2023-03-08,37,17,South,Mobile,0,59.83
2023-03-09,20,2,South,Mobile,0,56.71
2023-03-09,33,23,North,Mobile,0,58.27
2023-03-09,47,38,East,Mobile,1,89.97
2023-03-10,62,25,West,Mobile,1,102.66
2023-03-10,40,22,West,Tablet,0,75.79
2023-03-10,45,27,East,Mobile,1,88.86
2023-03-10,68,38,North,Mobile,1,105.73
2023-03-10,57,29,North,Desktop,1,102.22
2023-03-10,22,18,North,Mobile,0,76.26
2023-03-10,37,23,South,Desktop,1,101.34
2023-03-11,57,16,North,Desktop,0,104.17
2023-03-11,61,39,South,Tablet,1,93.1
2023-03-13,18,17,South,Mobile,1,57.92
2023-03-13,47,15,West,Desktop,1,106.28
2023-03-13,38,19,East,Mobile,1,88.19
2023-03-13,37,25,West,Desktop,0,71.69
2023-03-13,23,9,East,Mobile,0,52.25
2023-03-13,39,30,North,Mobile,0,86.31
2023-03-14,35,41,East,Mobile,0,98.73
2023-03-14,25,4,South,Mobile,0,40.84
2023-03-14,56,14,East,Desktop,1,101.01
2023-03-14,49,27,South,Desktop,0,111.08
2023-03-15,50,32,West,Desktop,1,94.38
2023-03-15,33,14,South,Mobile,1,76.07
2023-03-16,29,29,South,Desktop,0,76.87
2023-03-16,55,14,West,Mobile,1,90.92
2023-03-16,69,41,North,Desktop,1,105.42
2023-03-16,51,19,East,Tablet,1,107.08
2023-03-16,31,32,East,Mobile,1,65.52
2023-03-16,53,46,West,Desktop,1,115.61
2023-03-16,50,17,West,Mobile,0,95.65
2023-03-17,40,14,West,Mobile,0,63.27
2023-03-17,67,42,North,Mobile,1,102.25
2023-03-17,62,27,West,Mobile,1,116.91
2023-03-17,19,9,East,Desktop,0,79.52
2023-03-17,58,29,East,Mobile,1,96.16
2023-03-17,38,1,North,Mobile,0,91.78
2023-03-18,19,9,East,Mobile,0,78.89
2023-03-18,44,15,West,Desktop,0,87.05
2023-03-19,26,8,West,Tablet,0,58.81
2023-03-19,18,23,South,Desktop,0,67.55
2023-03-19,28,1,North,Desktop,0,77.45
2023-03-19,20,18,South,Mobile,0,60.37
2023-03-19,69,31,West,Mobile,1,114.71
2023-03-19,40,17,East,Mobile,0,49.79
2023-03-20,43,29,South,Mobile,0,66.66
2023-03-20,21,13,North,Desktop,1,81.07
2023-03-21,35,23,South,Mobile,0,80.76
2023-03-21,23,21,South,Desktop,0,76.94
2023-03-21,52,22,West,Mobile,1,76.41
2023-03-21,39,13,East,Mobile,1,87.34
2023-03-22,60,19,South,Mobile,1,99.79
2023-03-22,32,7,South,Desktop,0,80.99
2023-03-22,39,48,North,Desktop,0,95.75
2023-03-22,54,39,West,Desktop,1,107.75
2023-03-22,69,20,South,Mobile,1,114.8
2023-03-22,59,16,South,Tablet,1,85.48
2023-03-22,29,19,South,Mobile,0,67.1
2023-03-23,64,37,East,Mobile,1,87.89
2023-03-23,66,38,East,Tablet,1,98.03
2023-03-23,59,26,East,Mobile,1,88.22
2023-03-23,55,26,South,Desktop,1,114.44
2023-03-23,35,20,South,Mobile,1,91.54
2023-03-24,62,31,North,Mobile,1,105.3
2023-03-24,52,3,East,Tablet,1,81.67
2023-03-25,47,21,North,Mobile,1,101.19
2023-03-25,41,11,South,Desktop,0,74.67
2023-03-25,59,31,West,Mobile,1,105.61
2023-03-25,47,53,West,Desktop,1,98.71
2023-03-25,31,19,South,Mobile,0,88.78
2023-03-25,23,8,South,Mobile,0,45.06
2023-03-25,20,19,North,Mobile,0,67.15
2023-03-25,33,21,East,Mobile,0,86.95
2023-03-26,24,16,West,Tablet,1,71.55
2023-03-26,69,40,North,Mobile,1,102.75
2023-03-27,31,36,South,Mobile,1,88.37
2023-03-27,26,1,West,Mobile,1,76.55
2023-03-27,32,20,West,Mobile,0,47.99
2023-03-27,38,9,North,Desktop,0,74.87
2023-03-27,52,31,South,Tablet,1,122.59
2023-03-27,19,1,North,Mobile,0,56.87
2023-03-28,44,17,North,Desktop,1,83.38
2023-03-28,19,6,West,Mobile,0,72.77
2023-03-28,52,35,West,Mobile,1,103.87
2023-03-28,35,26,East,Desktop,1,83.2
2023-03-29,31,3,North,Mobile,0,63.35
2023-03-29,37,19,West,Desktop,1,110.87
2023-03-29,35,10,South,Desktop,1,93.44
2023-03-30,27,1,South,Mobile,1,63.49
2023-03-30,42,18,South,Tablet,1,112.95
2023-03-30,19,6,North,Desktop,0,77.54
2023-03-30,42,45,East,Mobile,1,119.31
2023-03-30,50,29,South,Desktop,1,116.09
2023-03-30,53,12,North,Mobile,1,85.3
2023-03-31,48,18,North,Tablet,1,111.85
2023-03-31,31,25,North,Desktop,0,82.53
2023-03-31,18,29,North,Mobile,0,55.01
2023-03-31,63,15,South,Mobile,0,89.7
2023-03-31,33,1,West,Desktop,0,80.73
2023-03-31,63,50,North,Mobile,1,109.0
2023-03-31,69,38,North,Mobile,1,104.13
2023-04-01,20,1,South,Mobile,0,82.31
2023-04-02,52,31,West,Mobile,1,96.58
2023-04-02,58,2,South,Mobile,1,84.43
2023-04-02,23,11,South,Mobile,0,68.99
2023-04-02,42,24,South,Mobile,1,89.55
2023-04-02,30,24,South,Desktop,1,65.94
2023-04-02,51,15,North,Mobile,0,85.17
2023-04-02,25,13,East,Mobile,0,62.19
2023-04-02,38,9,East,Mobile,1,82.07
2023-04-02,51,28,South,Mobile,1,114.76
2023-04-03,21,1,East,Mobile,0,57.65
2023-04-03,42,16,East,Mobile,1,97.19
2023-04-03,32,6,North,Mobile,0,62.42
2023-04-03,21,17,South,Desktop,0,87.14
2023-04-03,62,39,North,Desktop,1,129.47
2023-04-04,29,12,North,Desktop,0,65.8
2023-04-04,49,24,East,Desktop,0,77.68
2023-04-04,49,10,West,Desktop,1,92.05
2023-04-05,45,19,West,Mobile,0,76.1
2023-04-05,30,14,East,Desktop,1,79.93
2023-04-05,48,50,North,Mobile,1,109.31
2023-04-05,31,4,North,Desktop,0,89.94
2023-04-05,37,33,West,Desktop,1,101.83
2023-04-05,35,27,South,Mobile,0,44.34
2023-04-05,46,25,East,Mobile,1,97.99
2023-04-05,23,29,East,Mobile,0,73.93
2023-04-06,49,28,East,Desktop,1,112.17
2023-04-06,46,26,West,Desktop,1,101.28
2023-04-06,60,29,North,Desktop,1,115.55
2023-04-06,19,21,East,Mobile,0,68.37
2023-04-06,40,30,West,Desktop,1,119.61
2023-04-06,36,11,South,Mobile,1,70.3
2023-04-06,48,10,East,Desktop,1,107.54
2023-04-06,68,31,South,Mobile,1,97.79
2023-04-07,22,2,West,Mobile,0,59.34
2023-04-07,36,17,North,Mobile,0,56.7
2023-04-07,51,37,South,Desktop,0,94.59
2023-04-07,27,8,North,Tablet,0,62.16
2023-04-08,42,20,East,Mobile,1,85.01
2023-04-08,19,10,North,Mobile,0,51.53
2023-04-08,28,22,North,Tablet,0,70.81
2023-04-08,67,11,South,Mobile,1,100.09
2023-04-08,48,17,West,Desktop,1,104.08
2023-04-08,32,18,North,Mobile,1,81.47
2023-04-08,26,25,North,Mobile,0,60.84
2023-04-08,40,15,East,Desktop,1,106.19
2023-04-09,36,1,South,Desktop,1,85.89
2023-04-09,26,19,West,Mobile,0,80.92
2023-04-09,52,19,North,Mobile,1,98.07
2023-04-09,38,7,East,Desktop,0,84.18
2023-04-09,26,6,North,Mobile,1,100.05
2023-04-09,45,20,North,Desktop,1,105.11
2023-04-09,63,25,East,Mobile,1,98.29
2023-04-09,68,11,South,Mobile,1,115.42
2023-04-09,24,20,East,Tablet,0,63.97
2023-04-09,33,29,South,Desktop,1,90.55
2023-04-09,33,23,South,Mobile,0,86.16
2023-04-10,50,13,South,Desktop,1,96.86
2023-04-10,21,8,West,Mobile,0,79.32
2023-04-10,21,10,South,Mobile,0,65.29
2023-04-10,56,33,South,Tablet,1,89.86
2023-04-10,57,35,South,Desktop,1,108.7
2023-04-11,34,9,South,Desktop,1,105.37
2023-04-11,54,27,South,Mobile,1,102.0
2023-04-11,56,32,West,Mobile,1,100.27
2023-04-11,69,49,South,Mobile,1,105.4
2023-04-11,46,30,West,Mobile,1,95.94
2023-04-11,69,42,North,Desktop,1,137.12
2023-04-11,53,27,East,Mobile,1,109.91
2023-04-11,55,41,West,Desktop,1,108.64
2023-04-12,56,32,North,Mobile,1,100.94
2023-04-12,67,24,West,Mobile,1,110.79
2023-04-13,54,41,South,Mobile,1,97.9
2023-04-13,69,41,West,Mobile,1,116.23
2023-04-13,52,21,East,Mobile,1,77.26
2023-04-13,24,7,South,Tablet,0,75.34
2023-04-13,44,24,North,Mobile,1,103.67
2023-04-13,45,27,South,Tablet,1,103.52
2023-04-14,39,21,North,Mobile,0,71.35
2023-04-14,31,18,North,Tablet,1,93.65
2023-04-14,24,28,North,Mobile,0,93.49
2023-04-14,54,37,South,Tablet,1,110.59
2023-04-14,39,21,East,Mobile,1,84.1
2023-04-14,22,20,North,Desktop,0,81.88
2023-04-14,19,1,North,Tablet,0,74.68
2023-04-14,44,25,East,Mobile,0,65.24
2023-04-15,38,37,North,Mobile,1,90.9
2023-04-15,55,25,North,Mobile,1,124.45
2023-04-15,32,7,North,Tablet,0,75.7
2023-04-15,38,12,West,Mobile,0,81.36
2023-04-16,27,2,West,Mobile,0,45.02
2023-04-16,40,12,South,Mobile,1,77.92
2023-04-16,56,24,East,Mobile,1,93.09
2023-04-16,22,1,South,Desktop,0,73.24
2023-04-16,18,9,East,Mobile,0,47.16
2023-04-17,30,24,East,Desktop,0,61.14
2023-04-17,38,9,East,Tablet,1,65.11
2023-04-17,43,36,South,Mobile,1,110.8
