Date,Activity_Score,Region,Treatment_Group,Revenue
07-01-2023,55,West,1,130.07
07-01-2023,52,North,0,125.11
07-01-2023,60,East,1,139.32
07-01-2023,25,East,0,112.09
07-01-2023,29,North,0,110.79
07-01-2023,53,North,1,133.93
07-01-2023,43,North,0,131.07
07-01-2023,22,South,0,115.45
07-01-2023,14,North,0,112.97
07-01-2023,32,West,0,116.15
07-01-2023,21,North,0,109.32
07-01-2023,69,East,1,141.73
07-01-2023,72,South,0,129.1
08-01-2023,26,South,0,112.44
08-01-2023,86,South,1,146.04
08-01-2023,25,East,0,113.2
08-01-2023,63,South,1,123.54
08-01-2023,85,West,1,138.87
08-01-2023,44,North,0,125.28
08-01-2023,32,South,1,107.72
08-01-2023,12,East,0,104.58
08-01-2023,24,East,0,117.43
08-01-2023,73,South,0,142.02
08-01-2023,80,East,1,139.26
08-01-2023,77,West,1,140.46
09-01-2023,73,South,1,134.88
09-01-2023,54,North,1,129.79
09-01-2023,72,North,1,127.79
09-01-2023,72,South,1,139.67
09-01-2023,61,North,1,134.74
09-01-2023,49,East,0,126.49
09-01-2023,70,West,1,132.73
09-01-2023,27,North,0,113.96
09-01-2023,10,West,0,113.03
09-01-2023,89,North,1,145.6
09-01-2023,71,East,1,130.65
09-01-2023,63,East,0,126.35
09-01-2023,77,East,1,143.7
09-01-2023,73,South,1,131.96
09-01-2023,84,West,1,144.8
10-01-2023,79,North,1,139.07
10-01-2023,26,East,1,111.04
10-01-2023,23,South,0,104.48
10-01-2023,12,East,0,107.68
10-01-2023,27,South,0,113.34
10-01-2023,60,North,1,136.2
10-01-2023,23,South,0,106.1
10-01-2023,79,East,1,137.9
10-01-2023,82,West,1,138.2
10-01-2023,43,North,0,121.68
10-01-2023,57,North,1,121.77
10-01-2023,77,South,1,142.54
10-01-2023,14,North,0,104.8
10-01-2023,86,South,1,140.39
10-01-2023,52,South,0,134.67
10-01-2023,35,West,0,118.93
11-01-2023,62,South,0,134.04
11-01-2023,69,South,1,145.68
11-01-2023,80,South,1,137.63
11-01-2023,47,South,1,113.05
11-01-2023,58,South,1,119.62
11-01-2023,16,South,0,111.69
11-01-2023,43,South,0,128.44
11-01-2023,45,West,0,121.52
11-01-2023,15,North,0,102.47
11-01-2023,31,South,0,120.28
11-01-2023,79,South,1,142.66
11-01-2023,72,South,1,135.99
11-01-2023,45,West,0,129.91
11-01-2023,85,South,1,141.27
11-01-2023,56,North,1,125.96
11-01-2023,26,East,0,115.74
12-01-2023,23,South,0,108.79
12-01-2023,28,South,0,114.71
12-01-2023,46,North,1,123.09
12-01-2023,36,West,0,122.14
12-01-2023,58,North,0,141.38
12-01-2023,54,South,1,123.84
12-01-2023,44,South,0,132.27
12-01-2023,48,North,0,116.7
12-01-2023,84,South,1,145.34
12-01-2023,86,East,1,145.55
12-01-2023,66,East,1,131.2
12-01-2023,46,West,0,122.37
12-01-2023,40,West,0,120.67
12-01-2023,66,North,1,143.2
12-01-2023,33,North,0,116.66
12-01-2023,68,West,1,131.77
12-01-2023,29,East,0,115.13
13-01-2023,21,North,0,104.29
13-01-2023,37,North,0,126.38
13-01-2023,82,East,1,136.14
13-01-2023,70,North,1,138.73
13-01-2023,35,West,0,118.08
13-01-2023,70,South,0,127.38
13-01-2023,62,East,1,123.88
13-01-2023,63,East,1,122.48
13-01-2023,41,West,0,128.17
13-01-2023,61,East,1,119.21
13-01-2023,36,North,0,118.63
13-01-2023,42,West,0,130.08
13-01-2023,36,North,0,110.9
13-01-2023,29,East,0,120.41
13-01-2023,26,East,0,111.02
13-01-2023,87,West,1,146.19
13-01-2023,59,South,1,140.35
13-01-2023,26,East,0,105.18
13-01-2023,39,West,0,114.68
13-01-2023,70,East,1,137.07
13-01-2023,28,North,0,101.19
13-01-2023,22,North,0,113.5
13-01-2023,15,East,0,108.6
13-01-2023,59,West,0,130.62
13-01-2023,19,South,0,119.23
13-01-2023,68,West,1,140.49
14-01-2023,82,North,1,142.95
14-01-2023,20,East,0,112.27
14-01-2023,51,North,0,130.04
14-01-2023,30,North,1,117.83
14-01-2023,31,North,0,112.46
14-01-2023,77,East,1,137.05
14-01-2023,65,South,1,139.45
14-01-2023,11,South,0,106.61
14-01-2023,69,West,0,126.34
14-01-2023,48,East,1,127.79
14-01-2023,76,South,1,137.65
14-01-2023,41,North,1,117.42
14-01-2023,77,East,1,138.2
14-01-2023,89,East,1,141.88
14-01-2023,37,South,0,117.82
14-01-2023,33,East,0,122.0
14-01-2023,60,West,1,128.18
15-01-2023,51,South,0,132.74
15-01-2023,62,West,1,132.94
15-01-2023,71,North,1,129.59
15-01-2023,18,East,0,118.5
15-01-2023,81,North,1,132.3
15-01-2023,36,South,0,120.06
15-01-2023,71,East,1,135.36
15-01-2023,75,South,1,130.94
15-01-2023,68,North,1,138.84
15-01-2023,82,North,1,139.11
15-01-2023,21,South,0,106.48
15-01-2023,14,East,0,104.67
15-01-2023,15,East,0,99.07
15-01-2023,87,South,1,149.13
16-01-2023,89,South,1,144.7
16-01-2023,82,West,1,138.02
16-01-2023,42,North,1,117.26
16-01-2023,69,South,1,130.38
16-01-2023,35,North,0,120.8
16-01-2023,75,East,1,137.81
16-01-2023,32,South,1,116.13
16-01-2023,88,South,1,145.81
16-01-2023,69,North,1,136.11
16-01-2023,53,North,0,119.72
16-01-2023,58,South,1,129.54
16-01-2023,32,North,0,118.78
16-01-2023,35,West,0,114.43
16-01-2023,53,East,1,128.25
16-01-2023,66,West,0,136.17
16-01-2023,59,West,1,126.25
16-01-2023,56,East,0,127.65
16-01-2023,12,North,0,106.84
17-01-2023,63,East,1,132.03
17-01-2023,81,East,1,132.1
17-01-2023,74,North,1,138.0
17-01-2023,80,West,1,137.96
17-01-2023,82,South,0,147.88
17-01-2023,32,North,0,124.18
17-01-2023,10,East,0,107.62
17-01-2023,89,South,1,150.28
17-01-2023,69,West,1,137.65
17-01-2023,86,North,1,142.27
17-01-2023,17,North,0,94.8
17-01-2023,28,East,0,102.82
17-01-2023,87,East,1,150.76
17-01-2023,70,North,1,136.98
17-01-2023,77,North,1,131.91
17-01-2023,57,West,0,133.22
17-01-2023,29,West,0,111.84
17-01-2023,10,South,0,113.63
18-01-2023,41,West,1,124.26
18-01-2023,27,South,0,110.08
18-01-2023,40,South,0,119.5
18-01-2023,77,West,1,144.08
18-01-2023,18,South,1,104.47
18-01-2023,85,East,1,143.54
18-01-2023,35,North,0,121.37
18-01-2023,27,West,0,117.94
18-01-2023,57,South,1,123.26
18-01-2023,74,West,0,137.33
18-01-2023,11,East,0,110.2
18-01-2023,33,West,0,114.43
18-01-2023,56,South,1,132.21
18-01-2023,42,North,0,120.79
18-01-2023,35,South,0,116.52
18-01-2023,63,West,1,145.69
18-01-2023,88,South,1,145.7
19-01-2023,23,North,0,105.84
19-01-2023,59,West,0,130.8
19-01-2023,32,South,0,117.12
19-01-2023,65,West,0,125.97
19-01-2023,39,North,0,117.99
19-01-2023,30,South,0,122.88
19-01-2023,25,South,0,112.02
19-01-2023,37,North,0,117.65
19-01-2023,47,West,0,122.88
19-01-2023,73,North,1,140.0
19-01-2023,70,West,1,138.66
19-01-2023,75,East,1,131.71
19-01-2023,32,North,0,119.4
20-01-2023,50,West,1,122.2
20-01-2023,85,East,1,144.31
20-01-2023,24,South,1,123.42
20-01-2023,51,West,0,119.8
20-01-2023,31,West,1,120.52
20-01-2023,29,South,0,119.57
20-01-2023,76,South,1,137.3
20-01-2023,28,South,0,113.24
20-01-2023,86,West,1,137.8
20-01-2023,79,West,1,142.28
20-01-2023,11,West,0,106.68
20-01-2023,85,South,1,139.19
20-01-2023,60,West,1,125.5
20-01-2023,89,North,1,149.16
20-01-2023,11,South,0,103.15
20-01-2023,72,West,1,132.01
20-01-2023,68,West,1,131.73
20-01-2023,51,West,0,125.83
20-01-2023,23,South,0,117.74
21-01-2023,19,East,0,102.43
21-01-2023,24,West,0,113.03
21-01-2023,53,North,0,139.07
21-01-2023,71,South,1,131.53
21-01-2023,76,South,1,125.55
21-01-2023,65,North,1,135.14
21-01-2023,71,South,1,134.18
21-01-2023,23,North,0,102.81
21-01-2023,71,North,1,137.94
21-01-2023,52,South,1,131.29
21-01-2023,54,East,0,121.3
21-01-2023,28,South,0,120.42
21-01-2023,27,North,0,115.24
22-01-2023,61,South,1,122.1
22-01-2023,29,East,0,110.29
22-01-2023,52,North,1,130.6
22-01-2023,10,East,1,114.6
22-01-2023,62,West,0,132.86
22-01-2023,28,North,0,112.62
22-01-2023,16,West,0,116.86
22-01-2023,84,North,1,146.05
22-01-2023,43,North,0,128.99
22-01-2023,72,East,0,146.3
22-01-2023,70,West,0,131.84
22-01-2023,38,West,0,123.63
22-01-2023,89,East,1,150.22
22-01-2023,81,South,1,134.15
22-01-2023,85,South,1,150.42
22-01-2023,46,East,1,131.68
22-01-2023,88,South,1,144.4
22-01-2023,45,West,0,121.68
22-01-2023,13,East,0,106.48
22-01-2023,39,South,0,122.85
22-01-2023,29,South,0,108.37
22-01-2023,74,West,1,137.59
23-01-2023,69,South,1,132.56
23-01-2023,40,West,0,114.85
23-01-2023,70,East,1,138.55
23-01-2023,77,North,1,138.2
23-01-2023,24,West,0,116.08
23-01-2023,38,East,0,116.29
23-01-2023,73,East,1,127.51
23-01-2023,14,North,0,104.77
23-01-2023,22,West,0,112.56
23-01-2023,60,North,1,132.53
23-01-2023,42,South,1,121.6
23-01-2023,81,East,1,150.01
23-01-2023,34,East,0,130.44
23-01-2023,76,South,1,135.98
23-01-2023,38,South,0,118.36
23-01-2023,47,East,0,130.15
23-01-2023,60,North,1,134.11
23-01-2023,40,East,1,117.89
23-01-2023,81,South,1,140.87
23-01-2023,34,South,0,115.11
24-01-2023,80,East,0,142.13
24-01-2023,18,South,0,106.21
24-01-2023,82,East,1,144.89
24-01-2023,39,West,0,116.85
24-01-2023,29,North,0,116.84
24-01-2023,73,South,1,138.27
24-01-2023,48,North,1,128.52
24-01-2023,61,West,0,126.86
24-01-2023,10,East,0,98.32
24-01-2023,16,East,0,106.91
24-01-2023,73,West,1,126.74
24-01-2023,31,West,0,122.4
24-01-2023,78,North,1,139.99
24-01-2023,12,South,0,114.02
24-01-2023,10,West,0,101.21
25-01-2023,21,North,0,114.73
25-01-2023,35,West,0,121.19
25-01-2023,34,East,1,122.76
25-01-2023,41,North,1,126.41
25-01-2023,56,North,1,119.85
25-01-2023,81,North,1,137.51
25-01-2023,49,East,1,117.79
25-01-2023,73,North,1,132.78
25-01-2023,67,North,1,127.46
25-01-2023,10,East,1,102.47
25-01-2023,40,West,0,119.01
25-01-2023,39,East,0,116.51
25-01-2023,19,East,0,116.24
25-01-2023,77,West,0,140.66
26-01-2023,41,East,0,117.95
26-01-2023,35,South,1,123.66
26-01-2023,27,West,0,109.3
26-01-2023,40,South,0,128.16
26-01-2023,71,North,1,130.99
26-01-2023,85,South,1,139.43
26-01-2023,32,North,0,118.84
26-01-2023,74,East,1,154.97
26-01-2023,36,South,0,118.7
26-01-2023,16,West,0,116.81
26-01-2023,60,West,1,134.96
26-01-2023,76,West,1,136.27
26-01-2023,69,West,1,128.06
26-01-2023,24,West,0,117.72
27-01-2023,78,North,1,134.65
27-01-2023,48,South,0,113.81
27-01-2023,44,North,1,122.4
27-01-2023,77,South,1,146.43
27-01-2023,31,South,0,107.18
27-01-2023,55,North,1,126.87
27-01-2023,14,East,0,110.23
27-01-2023,58,North,1,126.71
27-01-2023,33,South,0,118.02
27-01-2023,51,North,1,124.84
27-01-2023,69,West,1,131.73
28-01-2023,81,North,1,134.75
28-01-2023,10,West,0,101.21
28-01-2023,86,East,1,135.92
28-01-2023,58,East,1,131.32
28-01-2023,69,South,1,134.73
28-01-2023,86,North,1,140.79
28-01-2023,88,South,1,143.75
28-01-2023,62,South,1,126.9
28-01-2023,14,West,0,101.77
28-01-2023,72,South,1,133.9
28-01-2023,34,West,0,116.01
28-01-2023,26,South,0,121.62
28-01-2023,16,North,0,113.6
28-01-2023,23,West,0,114.82
29-01-2023,50,East,1,119.36
29-01-2023,37,South,0,111.03
29-01-2023,34,East,1,118.67
29-01-2023,65,North,1,135.01
29-01-2023,89,East,1,143.8
29-01-2023,52,East,0,121.72
29-01-2023,27,East,0,103.25
29-01-2023,23,North,0,114.85
29-01-2023,13,East,0,114.07
30-01-2023,88,South,1,139.73
30-01-2023,83,East,1,136.98
30-01-2023,39,East,0,111.79
30-01-2023,32,West,0,111.65
30-01-2023,64,East,1,130.94
30-01-2023,61,North,1,138.04
30-01-2023,89,East,1,151.13
30-01-2023,29,West,0,109.95
30-01-2023,78,North,1,144.92
30-01-2023,85,East,1,144.85
30-01-2023,48,North,0,126.69
30-01-2023,73,South,1,136.55
30-01-2023,57,North,0,126.73
30-01-2023,28,East,0,104.28
30-01-2023,42,South,0,121.37
30-01-2023,56,West,0,129.21
30-01-2023,47,East,1,118.26
31-01-2023,81,North,1,133.77
31-01-2023,64,East,0,131.67
31-01-2023,19,North,0,119.68
31-01-2023,43,North,1,117.17
31-01-2023,73,South,1,133.82
31-01-2023,69,North,1,133.1
31-01-2023,41,North,1,121.21
31-01-2023,52,West,1,128.39
31-01-2023,34,South,0,120.71
31-01-2023,10,North,0,102.77
31-01-2023,47,West,0,121.75
31-01-2023,84,South,1,143.02
31-01-2023,76,South,1,142.75
31-01-2023,81,East,1,137.46
31-01-2023,48,North,0,124.64
31-01-2023,45,West,0,118.49
01-02-2023,67,North,1,134.81
01-02-2023,56,West,1,119.07
01-02-2023,56,South,1,121.61
01-02-2023,79,South,1,139.65
01-02-2023,12,South,0,110.52
01-02-2023,56,South,1,122.92
01-02-2023,44,North,0,122.26
01-02-2023,37,West,0,120.95
01-02-2023,35,North,0,116.12
01-02-2023,63,South,1,125.64
01-02-2023,81,North,1,144.75
01-02-2023,46,East,0,122.42
01-02-2023,49,North,0,129.64
01-02-2023,10,North,0,106.32
01-02-2023,27,North,0,117.84
01-02-2023,68,North,0,140.5
01-02-2023,55,East,0,123.02
02-02-2023,52,East,1,124.64
02-02-2023,11,East,0,108.02
02-02-2023,25,North,0,112.8
02-02-2023,34,North,0,118.48
02-02-2023,23,West,0,115.01
02-02-2023,46,West,0,127.45
02-02-2023,71,West,1,140.75
02-02-2023,67,West,1,134.6
02-02-2023,46,South,0,128.27
02-02-2023,62,West,1,133.32
02-02-2023,61,North,0,133.49
02-02-2023,26,West,0,105.02
02-02-2023,12,North,0,102.83
02-02-2023,49,West,1,120.75
02-02-2023,59,South,1,111.6
02-02-2023,29,North,0,126.51
02-02-2023,28,East,0,116.38
02-02-2023,45,South,0,131.08
02-02-2023,69,North,1,141.98
03-02-2023,33,North,0,123.66
03-02-2023,40,East,0,122.13
03-02-2023,16,North,0,107.34
03-02-2023,47,West,0,125.35
03-02-2023,88,West,1,151.85
03-02-2023,86,East,1,139.56
03-02-2023,46,North,0,118.92
03-02-2023,82,North,1,140.64
03-02-2023,51,West,0,124.93
03-02-2023,58,East,1,123.72
03-02-2023,60,North,1,130.92
03-02-2023,13,North,0,96.43
03-02-2023,17,North,0,97.96
03-02-2023,64,North,1,121.75
03-02-2023,35,East,0,119.13
03-02-2023,71,North,1,140.3
03-02-2023,35,East,0,111.61
04-02-2023,80,West,1,134.92
04-02-2023,86,North,1,141.34
04-02-2023,87,East,1,147.98
04-02-2023,75,North,1,138.09
04-02-2023,84,North,1,139.1
04-02-2023,79,South,0,129.34
04-02-2023,23,East,0,112.28
04-02-2023,72,South,1,134.5
04-02-2023,74,North,1,139.58
04-02-2023,14,North,0,106.44
04-02-2023,67,West,1,135.43
04-02-2023,10,South,0,105.74
04-02-2023,17,South,0,107.88
04-02-2023,41,North,0,110.26
04-02-2023,60,North,1,133.86
04-02-2023,21,North,0,110.05
04-02-2023,48,South,1,115.95
04-02-2023,23,West,0,109.44
04-02-2023,31,North,0,109.58
04-02-2023,14,West,0,103.17
04-02-2023,19,West,0,105.91
05-02-2023,25,North,0,110.64
05-02-2023,51,South,1,121.76
05-02-2023,35,South,1,120.93
05-02-2023,75,East,1,130.37
05-02-2023,35,North,0,115.54
05-02-2023,86,South,1,140.21
05-02-2023,83,West,1,135.26
05-02-2023,11,West,0,102.69
05-02-2023,16,South,0,115.75
05-02-2023,31,North,0,117.06
05-02-2023,10,North,0,109.38
05-02-2023,11,North,0,111.12
05-02-2023,62,East,1,122.77
05-02-2023,56,South,0,127.9
05-02-2023,42,North,0,121.06
05-02-2023,49,South,0,118.54
05-02-2023,57,North,1,126.25
06-02-2023,34,South,0,126.44
06-02-2023,24,South,0,113.56
06-02-2023,22,South,0,110.23
06-02-2023,44,North,1,125.88
06-02-2023,24,South,0,117.96
06-02-2023,26,West,0,109.96
06-02-2023,11,South,0,109.91
06-02-2023,34,North,0,123.12
06-02-2023,69,West,1,131.64
06-02-2023,80,East,1,144.17
06-02-2023,36,North,1,119.82
07-02-2023,88,South,1,150.17
07-02-2023,20,West,0,97.89
07-02-2023,28,East,0,112.52
07-02-2023,28,North,0,107.98
07-02-2023,14,West,0,103.25
07-02-2023,65,West,1,141.2
07-02-2023,66,West,1,139.61
07-02-2023,59,North,1,123.1
07-02-2023,36,West,1,120.46
07-02-2023,80,South,1,133.25
07-02-2023,76,North,1,137.69
07-02-2023,58,East,0,123.45
07-02-2023,74,West,1,137.57
07-02-2023,59,East,1,132.55
07-02-2023,67,East,1,129.49
07-02-2023,69,West,1,137.41
08-02-2023,66,East,1,133.75
08-02-2023,82,South,1,136.0
08-02-2023,89,North,1,136.25
08-02-2023,73,West,1,124.4
08-02-2023,16,West,0,100.12
08-02-2023,33,West,0,108.94
08-02-2023,81,South,1,142.31
08-02-2023,52,East,1,124.51
08-02-2023,20,North,0,109.57
08-02-2023,77,West,1,141.37
08-02-2023,58,North,0,135.2
08-02-2023,81,North,1,138.67
08-02-2023,48,South,0,125.34
08-02-2023,46,West,0,121.49
08-02-2023,80,East,1,136.66
09-02-2023,50,South,0,128.45
09-02-2023,87,North,1,140.99
09-02-2023,48,South,0,121.44
09-02-2023,22,South,1,120.42
09-02-2023,79,West,1,130.74
09-02-2023,10,East,0,108.5
09-02-2023,82,West,1,145.42
09-02-2023,53,South,0,128.72
09-02-2023,64,East,1,131.03
09-02-2023,19,North,0,108.8
09-02-2023,64,North,1,131.88
09-02-2023,59,South,1,136.15
09-02-2023,55,North,1,122.24
09-02-2023,75,East,1,135.48
09-02-2023,24,West,0,115.26
09-02-2023,60,East,0,137.44
09-02-2023,18,West,0,110.1
09-02-2023,40,West,1,108.91
10-02-2023,85,East,1,144.62
10-02-2023,38,North,0,124.14
10-02-2023,67,South,1,132.97
10-02-2023,53,North,0,137.92
10-02-2023,16,North,0,109.0
10-02-2023,74,North,1,132.93
10-02-2023,68,East,0,136.25
10-02-2023,26,East,0,105.71
10-02-2023,53,South,0,132.42
10-02-2023,10,South,0,102.68
10-02-2023,30,East,1,104.19
10-02-2023,20,East,1,113.0
11-02-2023,82,South,1,144.15
11-02-2023,28,North,0,106.28
11-02-2023,15,East,0,108.76
11-02-2023,75,East,1,132.37
11-02-2023,77,East,1,138.06
11-02-2023,13,East,0,108.92
11-02-2023,47,North,1,125.3
11-02-2023,39,West,0,123.39
11-02-2023,33,North,1,117.68
11-02-2023,10,South,0,109.42
11-02-2023,61,North,1,132.63
11-02-2023,41,East,0,113.27
11-02-2023,55,East,0,131.11
11-02-2023,17,South,0,113.67
12-02-2023,23,West,0,118.3
12-02-2023,52,North,1,118.25
12-02-2023,28,South,0,114.57
12-02-2023,37,West,0,113.75
12-02-2023,31,North,0,119.49
12-02-2023,74,North,1,138.74
12-02-2023,66,West,1,127.98
12-02-2023,59,North,0,135.51
12-02-2023,31,North,0,119.25
12-02-2023,83,West,1,137.69
12-02-2023,18,South,0,103.17
12-02-2023,80,South,1,138.57
12-02-2023,19,West,0,111.01
12-02-2023,51,East,1,119.08
13-02-2023,45,West,1,118.34
13-02-2023,60,West,1,123.42
13-02-2023,88,West,1,141.33
13-02-2023,58,West,1,126.88
13-02-2023,58,South,1,129.73
13-02-2023,44,West,1,120.13
13-02-2023,38,East,1,113.98
13-02-2023,20,West,0,109.05
13-02-2023,19,South,0,106.81
13-02-2023,14,East,0,101.87
13-02-2023,48,North,0,117.85
14-02-2023,28,East,0,116.46
14-02-2023,62,North,0,132.53
14-02-2023,67,East,1,129.56
14-02-2023,78,South,1,136.98
14-02-2023,71,West,1,127.93
14-02-2023,17,South,0,105.06
14-02-2023,32,North,0,117.47
14-02-2023,32,North,0,115.05
14-02-2023,80,East,1,135.64
14-02-2023,61,South,1,130.26
15-02-2023,80,West,1,140.79
15-02-2023,64,North,0,133.58
15-02-2023,18,South,0,102.29
15-02-2023,37,North,0,112.5
15-02-2023,28,South,0,119.64
15-02-2023,83,North,1,137.38
15-02-2023,77,North,1,131.62
15-02-2023,63,East,1,130.13
15-02-2023,46,East,0,123.68
15-02-2023,83,South,1,146.88
15-02-2023,64,South,0,121.21
15-02-2023,70,North,0,134.43
15-02-2023,45,North,1,123.25
15-02-2023,38,West,0,125.42
15-02-2023,82,West,1,133.26
15-02-2023,30,North,0,111.27
15-02-2023,85,South,1,139.29
15-02-2023,48,North,0,128.43
15-02-2023,49,West,1,126.92
15-02-2023,30,East,0,116.3
15-02-2023,77,West,1,144.77
15-02-2023,13,East,0,95.95
16-02-2023,13,East,0,105.18
16-02-2023,31,North,0,106.3
16-02-2023,53,North,1,125.99
16-02-2023,57,East,1,139.49
16-02-2023,59,South,1,124.77
16-02-2023,78,North,1,142.33
16-02-2023,88,West,1,135.99
16-02-2023,69,West,1,134.66
16-02-2023,62,North,1,129.0
16-02-2023,52,North,1,127.24
16-02-2023,84,South,1,141.28
16-02-2023,62,West,0,132.19
16-02-2023,17,South,0,107.91
17-02-2023,36,West,0,115.15
17-02-2023,67,East,1,135.45
17-02-2023,75,North,1,136.09
17-02-2023,65,North,1,127.51
17-02-2023,59,North,1,126.37
17-02-2023,52,West,0,128.96
17-02-2023,24,South,1,117.45
17-02-2023,60,West,1,140.15
17-02-2023,65,West,1,125.68
17-02-2023,45,West,0,128.1
17-02-2023,82,North,1,140.7
17-02-2023,30,North,0,109.15
17-02-2023,25,North,0,103.08
17-02-2023,14,West,0,107.15
17-02-2023,15,West,0,111.21
17-02-2023,20,West,0,109.34
17-02-2023,34,East,0,121.65
17-02-2023,73,East,1,136.41
17-02-2023,46,North,0,129.81
17-02-2023,26,North,0,110.0
18-02-2023,47,West,0,120.66
18-02-2023,22,South,1,107.66
18-02-2023,27,West,0,117.66
18-02-2023,79,South,1,144.59
18-02-2023,72,South,1,137.95
18-02-2023,54,West,1,123.76
18-02-2023,72,North,1,134.56
18-02-2023,84,East,1,143.62
18-02-2023,39,South,0,120.95
18-02-2023,48,North,0,117.45
18-02-2023,47,West,0,120.96
18-02-2023,31,South,0,114.91
18-02-2023,81,East,1,133.46
18-02-2023,16,East,0,101.65
18-02-2023,81,East,1,136.82
18-02-2023,36,South,1,103.37
18-02-2023,85,South,1,139.83
18-02-2023,28,North,0,116.9
18-02-2023,17,East,0,118.06
18-02-2023,64,East,1,135.15
19-02-2023,15,West,0,110.67
19-02-2023,76,South,1,143.17
19-02-2023,58,South,1,125.36
19-02-2023,23,East,0,122.95
19-02-2023,68,West,1,143.6
19-02-2023,66,South,1,129.51
19-02-2023,63,South,1,133.11
19-02-2023,75,East,1,141.84
19-02-2023,49,South,1,123.76
19-02-2023,68,West,1,131.76
19-02-2023,54,North,0,126.13
19-02-2023,67,North,1,134.65
19-02-2023,40,East,0,118.95
19-02-2023,71,South,1,144.05
19-02-2023,11,West,0,105.69
19-02-2023,68,East,1,130.98
20-02-2023,29,East,0,113.84
20-02-2023,29,East,0,111.25
20-02-2023,25,West,0,111.17
20-02-2023,48,East,0,133.88
20-02-2023,55,East,1,121.76
20-02-2023,26,West,0,117.05
20-02-2023,81,West,1,134.43
20-02-2023,29,West,0,114.87
20-02-2023,72,West,1,153.61
20-02-2023,56,South,0,123.02
20-02-2023,35,South,0,122.37
20-02-2023,66,East,1,137.39
20-02-2023,43,West,0,128.34
20-02-2023,36,North,1,120.98
20-02-2023,71,North,1,143.52
20-02-2023,51,East,0,116.16
20-02-2023,23,North,0,121.02
20-02-2023,56,West,1,128.13
20-02-2023,51,South,1,135.75
21-02-2023,29,South,0,114.59
21-02-2023,11,North,0,103.19
21-02-2023,55,South,1,136.12
21-02-2023,36,East,0,113.29
21-02-2023,59,North,1,129.98
